10.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
dev.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
dns1.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
ecom.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
ee.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
es.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
flash.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
fortworth.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
gateway.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
ghcpiadmin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
gi.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
gr.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
hr.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
jrun.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
launch.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
minneapolis.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
msexchange.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
mysql0.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
na-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
netapp.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
newhampshire.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
nov-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
ns3.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
ov.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
owa01.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pager.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
paul.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
pbx.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pc1.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
pc41.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pc50.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pc8.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pictures.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pluto.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
poland-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
postoffice.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
prdadmin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
pre.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.160.0/21
qa-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
resetadmin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
restrictadmin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
rs.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
rw.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
spring-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
stage1-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
start.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
stat.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
sv.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
td.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
thor.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
tr-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
users-admin.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
va.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
vpn1.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
vpn2.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
w3.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
web.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
webmaster.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
whiskey.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
windows.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www2.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
xlogan.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
zlog.lex.com.my AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
