15.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
unitedkingdom.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
w3-www.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
webfarm.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
ws5.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www5.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
wwwa.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
wwwci.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
wwwcms1.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
www-cn.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
w-ww.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
wwwpriv.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.32.0/22
wwwqa.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www-reviews.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www-smtp.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www-team.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
www-tr.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
wwwz.lex.in.th AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.108.0/22
