0000fuck.you.get.signal.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
9n.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a17-112-144-50.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a17-112-152-32.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a17-250-248-150.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a5.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a8w2xvonzue94lph1biykqg7r3tdfs6m5cj0.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aaxisnetid.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
access.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ac.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
acp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ad.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adm.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adobe-dns-3.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adserver.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ads.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aehlrp02vi18dns5qc4wyu793obkxmgtj6zf.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affiliates.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affle.sg.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
afstand.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.vi-vn.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
agenda.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ak.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alexandrasicignano.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alpha.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alubsmgw12.emea.omc.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alumni.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
am.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
amouradistance.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
am-red.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
analytics.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
and.come.view-pictures.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
an.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
angelfire.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ann.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api4.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.google.com.fb.me.g.co.4g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
app.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
app.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
apps.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.an.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.da-dk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.en-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.fi-fi.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.m.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.sokayka.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.vi-vn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.vi-vn.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar-ar.www.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
archive.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ardownload.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ardownload.wip3.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
argentinasinvacunas.ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
argentinasinvacunas.vi-vn.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
art.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
artificialintelligence-notes.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asia.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asia-red.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
assets.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asw2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atlas.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auth.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auth.gcpweb.my-od-4.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autoconfig.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autoconfig.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autodiscover.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
autodiscover.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auto.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
auwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
av.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
axis.0.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
axisnet.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
az-az.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b003.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b2b.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
backup.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
baidu.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
banner.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
banuba-live-selfie-filters-and-face-masks-camera.co.4g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b-api.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
basic.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bbs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bbs.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bc-japan-1-2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
beta.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
beta.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.an.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.gos.sk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.lanlabuy.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bg-bg.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bh407.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
billing.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bill-ryan-corrupt-click-fraud-porn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bip.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackberry.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackmask-1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blackmask1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blog.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blog.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
blogs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.da-dk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.da-dk.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.ms-my.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.sokayka.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bn-in.www.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bo3.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
board.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
b.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bookmarks.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bqdlot1ghj5uzk8wp4920sfvnr3iameycx76.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
broadcast-ip.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bs-ba.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
bs-ba.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
builder.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
builder.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
business.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
buy.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c13-b2b-blog-lb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c13-b2b-prod-fa-web-lb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c13-b2b-publish-lb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c5v18lgtoz3mxeundbyr2q9kj60wi4hf7psa.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cache.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cacti.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.an.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ca-es.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
calendar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cal.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
careers.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
careers.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cas.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
catalog.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cc.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn01.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn.basic.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn.line.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cdn.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
celcom.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
celebsunmasked.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
centrocorona.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
chat.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cisco.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
citrix.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
citrix.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
class.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
clcp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
clg16-lacouronne.en-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
clients.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cloud.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cloudflare-resolve-to.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cloud.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
club.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cms.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cname.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cname.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cnsqd1lzf9grba802mkv4heo36pi7jxwu5yt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
com252ffma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
com.auwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
com.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
comm.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
commobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
community.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
comune.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
comwww.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
c.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
conference.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
connect.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
content.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
control.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
coronaliu.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
coronarenderer.38.116profile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
coronarenderer.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
coronasdk.co.4g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
corp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
correo.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cosex-on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
covid-19-fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
covid-19fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cpanel.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cpanel.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cp.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
crm.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
crm.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cs9bogl2hvrnm4uy5zqew0t6f8apkj17ix3d.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cs-cz.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cs-cz.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cse.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
css.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cvs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cy-gb.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cy-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cy-gb.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
cy-gb.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d001.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d002.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d003.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d004.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d005.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d006.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d007.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d008.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d009.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d010.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d011.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
